Austria;Belgium;Denmark;Finland;France;Germany;Italy;Netherlands;Norway;Sweden;Switzerland;UK;Ireland;Greece;Portugal;Spain;Australia;N.Zealand;Canada;USA;Argentina;Brazil;Chile;Colombia;Mexico;Peru;Uruguay;Venezuela;Costa Rica;Ecuador;Guatemala;India;Japan;Sri Lanka;Turkey;South Africa
3586;4979;5341;2666;4532;3973;2631;5603;3627;4238;8492;5441;2897;2258;1571;2620;4708;4960;4811;6213;4080;1048;2859;1474;1618;1663;4301;3444;1626;1065;1776;726;1850;1265;1249;1413
3288;4860;5359;2581;4235;3652;2579;5185;3323;4129;8437;5138;2972;2134;1631;2529;4354;4475;4004;5691;3712;1004;2218;1448;1643;1504;3500;2754;1575;1044;1620;711;1837;1203;1302;1335
2940;4607;5169;2550;3959;3362;2615;5035;3467;3968;7862;5148;2885;2289;1643;2559;4564;4327;3671;4908;3522;1018;1844;1511;1373;1423;3196;2613;1421;1023;1380;709;1962;1141;1205;1284
2833;4681;5291;2702;4239;3556;2565;4956;3534;4033;8057;5277;2800;2395;1732;2486;4842;4576;3370;4777;3621;1076;2236;1577;1501;1558;2750;2831;1660;1023;1358;700;2122;1150;1342;1423
2852;4624;5402;2988;4192;3858;2538;4805;3638;4294;8086;5608;2882;2418;1784;2556;5060;4768;3691;5114;3845;1142;2655;1526;1574;1740;3221;2995;1437;1023;1512;697;2098;1260;1351;1577
2907;4894;5480;3093;4086;4120;2654;4929;3800;4492;7698;5799;2966;2480;1669;2583;5318;4959;3951;5467;3950;1150;2761;1677;1660;1873;3356;3181;1527;1023;1712;680;2120;1184;1357;1747
2995;4913;5575;3279;4244;4451;2540;5190;4035;4640;7574;6035;3052;2455;1523;1989;5516;5840;4124;6204;3912;1235;2847;1744;1768;1931;3459;3449;1600;1033;2305;697;2244;1175;1588;1912
3156;4961;5668;3441;4487;4685;2772;5433;4193;4755;8360;6218;2957;2769;1757;1808;5746;6102;4473;6430;4125;1250;3181;1751;1796;1926;3462;3896;1802;1044;2206;676;2315;1247;1612;2038
3559;4832;5762;3589;4466;4994;2830;5250;4262;4901;7967;6266;3052;2677;1747;1790;5886;6462;4546;6126;4072;1276;3161;1843;1794;1925;3676;4144;1876;1054;2224;668;2449;1225;1724;1956
4096;5150;5993;3408;4793;5406;2981;5544;4441;5251;8092;6262;3052;2638;1749;1915;5846;6460;4768;6561;4148;1263;3169;1905;1858;1905;3692;4305;1867;1065;2457;674;2816;1186;1814;2053
3959;4562;5116;3220;4042;5403;2897;4831;4038;4855;8139;6856;3052;2223;1615;2080;6166;6300;5368;7010;4161;1250;3236;1895;1852;1911;3661;4045;1763;1109;2742;686;2874;1251;1675;2145
4217;4358;4574;3322;3309;5711;2822;4531;4112;4712;8047;7482;3052;1874;1747;2030;6788;6129;6051;8206;4304;1307;3141;1877;1949;1880;3682;3903;1943;1091;2825;691;2873;1277;1508;2202
3983;3997;4629;3327;2981;5740;2648;4107;3928;4741;7669;7639;3052;1579;1708;2126;7505;6762;7033;9741;4284;1229;3226;1832;2032;1807;3338;3347;1688;1113;2800;679;2818;1323;1557;2226
4065;3907;5080;3697;2860;5890;2234;3981;3820;4880;7643;7744;3052;1327;1806;2188;7703;6928;7263;11518;4182;1368;3256;1792;2051;1804;3331;3575;1659;1222;1835;698;2822;1284;1398;2232
4152;4112;5543;3685;2422;6084;1797;2649;3588;5011;7724;7405;3052;1116;1893;2271;7362;6868;7443;12333;4579;1386;3256;1863;2159;1926;3705;4309;1459;1207;1741;683;2659;1154;1324;2265
1725;4333;5066;3450;2573;4514;1609;2686;3980;5145;7475;7056;3019;938;1804;2102;6917;6928;7133;11709;4356;1390;3471;1899;2134;1964;3764;5102;1614;1181;1732;664;1346;1116;1133;2278
1956;4574;5777;3683;3855;2217;2162;4457;4335;5646;8997;6745;3052;1386;1928;2179;6595;7161;6931;9197;4665;1501;3699;2017;2211;2005;4083;5948;1759;1289;2002;622;1444;1050;1430;2311
2166;4800;6035;3717;4138;2436;2556;5048;4864;6091;9182;6604;3092;1763;2071;2198;6664;7846;7088;8886;5089;1518;3240;2042;2221;2027;4313;6894;2036;1392;1975;618;1541;1073;1476;2288
2764;5024;6133;3957;4393;2834;2735;5490;5144;6162;9116;6746;3230;1798;2046;2186;6967;6929;7065;9065;5252;1596;3712;2050;2248;2059;4405;7394;2095;1539;1988;617;1725;1159;1637;2414
3293;5193;6494;4143;4946;3282;2948;5880;5227;6353;8757;6956;3404;1869;2057;2155;7237;7521;7064;8944;5047;1659;3569;2107;2304;2177;4504;7544;2123;1524;2111;624;1800;1199;1519;2396
3706;5462;6943;4253;5186;3881;3172;5996;5430;6739;9064;6939;3453;1915;2086;2189;7412;8456;7291;9561;4987;1672;3670;2153;2365;2308;4659;7462;1963;1607;2085;619;1921;1253;1623;2535
3959;5747;6936;4571;5461;4206;3451;6032;5670;6949;9684;7123;3544;2062;2168;2386;7507;7653;7533;10116;5073;1702;3731;2150;2477;2426;4955;7663;1951;1606;2047;623;2126;1293;1784;2591
3967;5668;6955;4674;5564;4553;3591;6084;5814;6996;9630;7091;3642;2053;2161;2558;7418;7796;7833;10316;4717;1752;3893;2214;2504;2487;4957;7992;2114;1747;2024;629;2336;1313;1947;2619
4137;5818;7292;4652;5684;4905;3830;6543;5985;7145;9840;7346;3747;2309;2298;2528;7505;7856;7984;10613;4874;1784;4112;2277;2439;2579;5139;7956;2353;1761;2032;657;2474;1299;2108;2675
4555;6029;7371;5002;5915;5247;3947;6907;6226;7402;10287;7619;3794;2358;2393;2696;7791;8743;7699;10359;4980;1848;3907;2358;2605;2583;5391;8417;2289;1877;2004;672;2582;1296;1993;2763
5053;6280;7395;5197;6199;5797;4190;7326;6301;7566;10867;7868;3920;2514;2475;2778;8027;8725;8201;10897;5237;1926;3975;2373;2742;2703;5352;8750;2460;1912;1989;676;2771;1337;2093;2830
