Albania;Austria;Belgium;Bulgaria;Switzerland;Germany;Denmark;Spain;Finland;France;United Kingdom;Greece;Hungary;Ireland;Italy;Netherlands;Norway;Poland;Portugal;Romania;Sweden;Turkey
1001;3706;5462;1651;9064;3881;6943;2189;4253;5186;6939;1915;2480;3453;3172;5996;5430;2447;2086;1182;6739;1623
1045;3959;5747;1989;9684;4206;6936;2386;4571;5461;7123;2062;2695;3544;3451;6032;5670;2510;2168;1256;6949;1784
1046;3967;5668;1893;9630;4553;6955;2558;4674;5564;7091;2053;2762;3642;3591;6084;5814;2521;2161;1333;6996;1947
1089;4137;5818;2085;9840;4905;7292;2528;4652;5684;7346;2309;2786;3747;3830;6543;5985;2618;2298;1411;7145;2108
1120;4555;6029;2025;10287;5247;7371;2696;5002;5915;7619;2358;2850;3794;3947;6907;6226;2715;2393;1496;7402;1993
1181;5053;6280;2148;10867;5797;7395;2778;5197;6199;7868;2514;3070;3920;4190;7326;6301;2794;2475;1578;7566;2093
1193;5397;6422;2128;11439;6177;7439;2978;5295;6448;7929;2706;2906;3897;4368;7499;6575;2864;2564;1623;7797;2097
1269;5716;6495;2330;11705;6492;7965;3046;5490;6762;8017;2859;3169;3914;4591;7614;6711;2962;2659;1672;8092;2194
1326;5907;6442;2508;11297;6737;8095;3150;5474;6855;7966;2963;3367;3870;4823;7482;6652;3057;2672;1724;8083;2222
1381;6051;6608;2684;11870;7177;8637;3050;5754;6979;8240;3040;3484;4038;5131;7737;6874;3096;2794;1783;8288;2252
1451;6519;6952;2912;12457;7705;8812;3072;6230;7398;8645;3146;3649;4282;5456;8287;7204;3215;2956;1844;8688;2247
1463;6827;7253;3072;13099;7952;9312;3436;6658;7718;8857;3393;3816;4508;5853;8202;7595;3426;3119;1951;9137;2221
1511;6950;7583;3295;13354;8222;9747;3800;6819;8067;8865;3499;3962;4636;6203;8639;7746;3341;3330;2007;9469;2297
1563;7186;7862;3418;13710;8386;9732;4151;6994;8363;9149;3841;4168;4821;6532;8832;7982;3502;3504;2137;9917;2454
1616;7567;8341;3657;14191;8822;10560;4515;7307;8819;9568;4141;4388;4986;6728;9437;8316;3622;3718;2258;10515;2496
1675;7734;8559;3850;14504;9186;10953;4762;7670;9165;9752;4509;4410;5051;6964;9798;8690;3787;3992;2386;10815;2504
1738;8112;8776;4125;14727;9388;11160;5060;7824;9544;9885;4749;4646;5080;7366;9936;8945;3991;4164;2643;10936;2735
1804;8297;9072;4320;15010;9397;11437;5334;7947;9907;10049;4951;4894;5352;7872;10341;9423;4103;4481;2743;11219;2795
1869;8621;9416;4368;15374;9864;11837;5588;8093;10267;10410;5266;4934;5770;8382;10894;9551;4317;4873;2739;11561;2917
1932;9131;10018;4546;16031;10440;12531;6032;8878;10886;10552;5766;5062;6089;8879;11462;9899;4241;4987;2824;12055;3002
