"","Data","Conv?","Perc.","Avg..d_1","Avg..d_2","Avg..P_11","Avg..P_22","Avg..Sigma","Avg..mu_1"
"1","1930","C",0.044,0.902,NA,0.999,NA,0.058,0.494
"2","1930","D",0.208,1.215,NA,0.999,NA,0.054,0.599
"3","1930","C - C",0.014,0.928,-0.155,0.986,0.893,0.058,0.566
"4","1930","C - D",0.373,1.375,0.173,0.968,0.922,0.051,0.491
"5","1930","D - D",0.36,1.643,1.205,0.901,0.978,0.052,0.315
"6","1940","C",0.038,0.898,NA,0.999,NA,0.054,0.56
"7","1940","D",0.292,1.242,NA,0.999,NA,0.047,0.528
"8","1940","C - C",0.014,0.943,-0.442,0.984,0.886,0.047,0.416
"9","1940","C - D",0.333,1.47,-0.194,0.975,0.93,0.05,0.42
"10","1940","D - D",0.322,1.709,1.247,0.903,0.977,0.048,0.238
"11","1950","C",0.049,0.916,NA,0.999,NA,0.065,0.423
"12","1950","D",0.549,1.281,NA,0.999,NA,0.055,0.628
"13","1950","C - C",0.008,0.942,-0.14,0.985,0.879,0.056,0.724
"14","1950","C - D",0.24,1.312,-0.159,0.981,0.916,0.056,0.746
"15","1950","D - D",0.153,1.48,1.217,0.939,0.952,0.057,0.318
"16","Europe","C",0.039,0.918,NA,0.999,NA,0.04,1.045
"17","Europe","D",0.615,1.291,NA,0.999,NA,0.031,0.167
"18","Europe","C - C",0,NA,NA,NA,NA,NA,NA
"19","Europe","C - D",0.203,1.378,0.037,0.98,0.924,0.031,-0.199
"20","Europe","D - D",0.143,1.48,1.218,0.941,0.948,0.034,-0.165
"21","Europe+G7","C",0.05,0.936,NA,0.999,NA,0.035,0.78
"22","Europe+G7","D",0.617,1.301,NA,0.999,NA,0.031,0.185
"23","Europe+G7","C - C",0,NA,NA,NA,NA,NA,NA
"24","Europe+G7","C - D",0.207,1.347,0.01,0.982,0.921,0.031,0.22
"25","Europe+G7","D - D",0.127,1.47,1.229,0.942,0.947,0.033,0.09
"26","Europe+S&P","C",0.02,0.926,NA,0.999,NA,0.042,0.989
"27","Europe+S&P","D",0.644,1.312,NA,0.999,NA,0.038,0.542
"28","Europe+S&P","C - C",0.002,0.988,0.793,0.984,0.982,0.041,0.286
"29","Europe+S&P","C - D",0.167,1.367,0.006,0.982,0.916,0.037,0.311
"30","Europe+S&P","D - D",0.168,1.442,1.218,0.957,0.952,0.039,0.37
"31","G7+S&P","C",0.04,0.963,NA,0.999,NA,0.045,0.376
"32","G7+S&P","D",0.68,1.33,NA,0.999,NA,0.04,0.496
"33","G7+S&P","C - C",0.003,0.988,0.793,0.984,0.982,0.041,0.286
"34","G7+S&P","C - D",0.138,1.332,-0.028,0.984,0.929,0.037,0.454
"35","G7+S&P","D - D",0.138,1.439,1.233,0.953,0.949,0.039,0.342
